id,navigation_id,role_id,created_at,updated_at
"1","1","2","2017-07-18 14:08:13","2017-07-18 14:08:13"
"3","3","2","2017-07-18 14:08:13","2017-07-18 14:08:13"
"4","4","2","2017-07-18 14:08:13","2017-07-18 14:08:13"
"6","6","2","2017-07-18 14:08:13","2017-07-18 14:08:13"
"7","7","4","2017-07-18 14:08:13","2017-07-18 14:08:13"
"8","8","2","2017-07-18 14:08:13","2017-07-18 14:08:13"
"9","9","2","2017-07-18 14:08:13","2017-07-18 14:08:13"
"11","11","2","2017-07-18 14:08:13","2017-07-18 14:08:13"
"12","12","4","2017-07-18 14:08:13","2017-07-18 14:08:13"
"13","13","4","2020-01-27 13:58:56","2020-01-27 13:58:56"
"14","14","2","2020-01-29 06:25:55","2020-01-29 06:25:55"
"15","15","2","2020-01-29 06:30:23","2020-01-29 06:30:23"
"17","17","2","2020-01-29 06:30:23","2020-01-29 06:30:23"
"18","18","2","2020-01-29 06:30:23","2020-01-29 06:30:23"
"19","19","2","2020-01-29 06:30:23","2020-01-29 06:30:23"
"20","20","2","2020-01-29 06:30:23","2020-01-29 06:30:23"
"21","21","2","2020-01-29 06:30:23","2020-01-29 06:30:23"
"22","22","2","2020-04-16 11:28:00","2020-04-16 11:28:00"
"23","23","2","2020-04-16 11:28:00","2020-04-16 11:28:00"
"24","24","2","2020-04-16 11:28:00","2020-04-16 11:28:00"
"25","25","2","2020-04-16 11:28:00","2020-04-16 11:28:00"
"26","26","2","2020-04-16 11:28:00","2020-04-16 11:28:00"
"28","16","4","2020-09-22 10:40:23","2020-09-22 10:40:23"
"29","5","4","2020-09-22 10:40:47","2020-09-22 10:40:47"
"30","27","2","2020-09-22 11:03:28","2020-09-22 11:03:28"
"31","28","2","2020-09-22 12:52:59","2020-09-22 12:52:59"
"32","29","2","2020-09-22 13:34:17","2020-09-22 13:34:17"
"33","30","2","2020-09-22 13:34:58","2020-09-22 13:34:58"
"34","10","4","2020-09-23 09:16:32","2020-09-23 09:16:32"
"35","2","2","2020-09-23 09:17:25","2020-09-23 09:17:25"
